Technology Name,Definition,Business Impact,Adoption Maturity,Cognizant Investment,Super Trend
Advanced Analytics With Self-Service Delivery,"Advanced analytics, including techniques such as predictive analytics, interactive data visualization, pattern matching, machine learning and optimization, and automated decision support, is provided to business users through self-service interfaces.",Radical,Adolescent,Capacity,Insight Technologies
Advanced Data Visualization,,Tactical,Emerging,Capability,Insight Technologies
Affective Computing,"Affective computing technologies sense the emotional state of a user (via sensors, microphone, cameras and/or software logic) and respond by performing specific, predefined product and service features, such as simply changing a quiz or even recommending a set of physical activities to fit the mood of the learner.",Tactical,Emerging,Capability,Human Literate Computing
Agile Workplace Solutions,"The term ""agile workplace solutions"" describes a collection of collaborative and consumerized work environments and technologies that, combined with new working practices, enable employees to connect to their center of work from any location, at any time, with a variety of endpoint devices. ""Agile workplace"" defines a more flexible work environment that considers adaptive employee work styles and practices.",Radical,Emerging,Capability,Platform Driven Development
Algorithms,Algorithmic business is the industrialized use of complex mathematical algorithms pivotal to driving improved business decision making or process automation for competitive differentiation.,Disruptive,Emerging,Capability,Insight Technologies
Algorithms,Algorithmic business is the industrialized use of complex mathematical algorithms pivotal to driving improved business decision making or process automation for competitive differentiation.,Disruptive,Emerging,Capability,Human Literate Computing
Algorithms,Algorithmic business is the industrialized use of complex mathematical algorithms pivotal to driving improved business decision making or process automation for competitive differentiation.,Disruptive,Emerging,Capability,Cognitive Computing
API Management Services (apiPaaS),"Cloud API management services are about the planning, design, implementation, publication, operation, consumption, maintenance and retirement of APIs. They include a cloud developer's portal to target, assist and govern the communities of developers who embed the APIs in the application constructs they are implementing.",Radical,Early mainstream,Platform,Cloud Computing
API Management Services (apiPaaS),"Cloud API management services are about the planning, design, implementation, publication, operation, consumption, maintenance and retirement of APIs. They include a cloud developer's portal to target, assist and govern the communities of developers who embed the APIs in the application constructs they are implementing.",Radical,Early mainstream,Platform,Platform Driven Development
Application PaaS (aPaaS),"Application platform as a service (aPaaS) offers an application execution environment and associated development and management tools — as a cloud service. It is one of many specialized types of PaaS, although it is often erroneously seen as synonymous with all of PaaS. An aPaaS is always integrated or linked with a database system, which may or may not be also offered as a cloud database service (dbPaaS) in its own right. High-productivity and high-control aPaaS have been evolving independently toward integration.",Radical,Adolescent,Capacity,Platform Driven Development
Apps,"An app is a software packaging construct where value results from a specific, defined and sustained purpose identified through people-centered design processes. The more focused an app is on doing one thing well, the more valuable it's deemed to be. This contrasts with the approach found in traditional applications where value is tied to capabilities — the more things an application does, the better it is perceived to be. Apps, therefore, are an entirely different approach to conceptualizing and delivering a software solution.",Radical,Early mainstream,Platform,Platform Driven Development
Audio Mining/Speech Analytics,"Speech analytics, also known as audio mining, embraces keyword, phonetic or transcription technologies to extract insight from prerecorded and, more recently, real-time voice streams. This insight can then be used to classify calls, trigger alerts/workflows, and drive operational and employee performance across the enterprise.",Radical,Adolescent,Capacity,Cognitive Computing
Audio Mining/Speech Analytics,"Speech analytics, also known as audio mining, embraces keyword, phonetic or transcription technologies to extract insight from prerecorded and, more recently, real-time voice streams. This insight can then be used to classify calls, trigger alerts/workflows, and drive operational and employee performance across the enterprise.",Radical,Adolescent,Capacity,Insight Technologies
Augmented Reality,"Augmented reality (AR) is the real-time use of information in the form of text, graphics, audio, and other virtual enhancements integrated with real-world objects and presented using a head-mounted-type display or projected graphics overlays. It is this ""real world"" element that differentiates AR from virtual reality. AR aims to enhance users' interaction with the environment, rather than separating them from it.",Radical,Adolescent,Capacity,Human Literate Computing
Autonomous Agents,,Disruptive,Emerging,Capability,Human Literate Computing
Autonomous Agents,,Disruptive,Emerging,Capability,IoT
Behavior-Driven Development,"Behavior-driven development (BDD) is a close relative of test-driven development (TDD) and acceptance-test-driven development (ATDD). All these are practices in which tests are written prior to writing the code. Although TDD and ATDD describe tests in a technical way that is familiar to development and test engineers, BDD expresses requirements (behaviors) in a nontechnical way that can be turned into automated tests. This process improves communication between end users, business analysts, developers and testers.",Radical,Emerging,Capability,Platform Driven Development
Behavior-Driven Development,"Behavior-driven development (BDD) is a close relative of test-driven development (TDD) and acceptance-test-driven development (ATDD). All these are practices in which tests are written prior to writing the code. Although TDD and ATDD describe tests in a technical way that is familiar to development and test engineers, BDD expresses requirements (behaviors) in a nontechnical way that can be turned into automated tests. This process improves communication between end users, business analysts, developers and testers.",Radical,Emerging,Capability,Human Literate Computing
Big Data,"Gartner defines ""big data"" as high-volume, high-velocity, high-variety information assets that demand cost-effective, innovative forms of information processing for enhanced insight and decision making. In insurance, big data impacts strategies for actuarial, claims, underwriting, customer intelligence and fraud.",Radical,Emerging,Capability,Insight Technologies
Chatbots,"Chatbots are microservices or apps that can operate on other bots, apps or services in response to event triggers or user requests. They may invoke other services or applications, often emulating a user or app, or using an API to achieve the same effect. These requests can be initiated via conversational UIs or in response to a change in the state of a back-end application or database. Bots automate tasks based on predefined rules or via more sophisticated algorithms, which may involve machine learning.",Disruptive,Emerging,Capability,Human Literate Computing
Citizen Data Science,"Citizen data science is a branch of data science that allows users to extract advanced insights from data without the formal training in advanced mathematics and statistics required to be a specialist data scientist. Central to citizen data science are rapidly progressing tools that streamline data preparation, provide strong user guidance around the different analytic operations (correlations, clustering, predictions), and often automate various modeling and pattern-detection steps on the user's behalf.",Disruptive,Emerging,Capability,Insight Technologies
Client-Side MVC,"Client-side model-view-Controller (MVC) refers to a browser-side implementation of the long-established MVC architectural design pattern. This is implemented with a combination of client-side technologies (JavaScript, CSS, HTML) whose proportion varies depending on the specific library, of which there are multiple dozens.",Tactical,Early mainstream,Platform,Platform Driven Development
Complex Event Processing,"An event stream is a sequence of event objects arranged in some order, typically by time. Event stream processing (ESP) is any form of computing carried out on event streams. An event object (for example, a message) is a report of anything that happens (an event). Most ESP involves stream analytics, a computing technique that performs complex-event processing (CEP) on incoming event data to derive higher-level, more-useful summary information (complex events).",Disruptive,Adolescent,Capacity,Platform Driven Development
Complex Event Processing,"An event stream is a sequence of event objects arranged in some order, typically by time. Event stream processing (ESP) is any form of computing carried out on event streams. An event object (for example, a message) is a report of anything that happens (an event). Most ESP involves stream analytics, a computing technique that performs complex-event processing (CEP) on incoming event data to derive higher-level, more-useful summary information (complex events).",Disruptive,Adolescent,Capacity,Insight Technologies
Connected Health,"Mobile health monitoring is the use of mobile devices, and information and communications technologies to actively monitor patients' health and wellness. Patients are provided, or have purchased their own, mobile and wearable monitoring devices that capture physiological conditions, such as blood pressure, glucose level, pulse, blood oxygen level and weight; this data is then transmitted or staged for analysis and review, and, if necessary, intervention.",Tactical,Emerging,Capability,IoT
Connected Home,"A connected home is networked to enable the interconnection and interoperability of multiple devices, services and apps, ranging from communications and entertainment to healthcare, security and home automation. These services and apps are delivered over multiple interlinked and integrated devices, sensors, tools and platforms. Contextual, real-time, smart experiences are provided at the local or cloud level, enabling individuals and other connected services in the household to control and monitor the home remotely, as well as within it.",Radical,Adolescent,Capacity,IoT
Consumer Telematics,"Consumer telematics represents end-user-targeted, vehicle-centric information and communication technologies (vehicle ICTs) and services that use embedded technology or mobile and aftermarket devices. Network-enabled cars for consumers provide in-vehicle services, such as emergency assistance, navigation and routing, traffic information, local search (for example, for charging stations or restaurants), and concierge services.",Radical,Adolescent,Capacity,IoT
Consumer Telematics,"Consumer telematics represents end-user-targeted, vehicle-centric information and communication technologies (vehicle ICTs) and services that use embedded technology or mobile and aftermarket devices. Network-enabled cars for consumers provide in-vehicle services, such as emergency assistance, navigation and routing, traffic information, local search (for example, for charging stations or restaurants), and concierge services.",Radical,Adolescent,Capacity,Autonomous Vehicles
Container Management/ Containers,"Container management software provides management and orchestration of OS containers. This category of software includes container runtimes, container orchestration, job scheduling, resource management and other container management capabilities. Container management software is typically DevOps-oriented and dependent upon the use of a particular OS container technology or specific container runtime.",Tactical,Emerging,Capability,Platform Driven Development
Content Analytics,"Content analytics are a family of technologies that are used in the process of extracting information from content and offers insight into the behavior of users consuming it. Content types comprise varied texts such as documents, blogs, news sites, customer conversations (both audio and text), video, and interactions occurring on the social Web. Content Analytics will interact with these and its abilities include entity extraction for better information retrieval, faceted search, as well as providing overviews, summarization and classification.",Radical,Early mainstream,Platform,Insight Technologies
Cryptocurrencies,"Cryptocurrencies are a subset of the larger category of digital currency — virtual money — that is created by private entities without the backing of governments, and transacted using digital mediums (usually relying on a peer-to-peer network of nodes, rather than a centralized server). Bitcoin was the first to appear in the cohort of cryptocurrencies, and remains the most prominent example. There have been more than 500 alternative cryptocurrencies (""altcoins"") released. The vast majority appear to target the market of speculators.",Radical,Adolescent,Capacity,Blockchain
Data Lakes,"A data lake is a collection of storage instances of various data assets. These assets are stored in a near-exact, or even exact, copy of the source format, and are in addition to the originating data stores.",Tactical,Adolescent,Capacity,Insight Technologies
Data Science,"Data science is the discipline of extracting nontrivial knowledge from all kinds of data, to improve decision making. It involves a variety of steps, from understanding a business and preparing data to building and deploying analytical models.",Disruptive,Early mainstream,Platform,Insight Technologies
Deep Reinforcement Learning,"Deep reinforcement learning is the application of deep neural networks to reinforcement learning. Reinforcement learning is a machine-learning technique, where the objective is to acquire a mapping between situations and action. Instead of corrective actions (supervised learning), only sporadic rewards are available to influence a system's behavior: positive rewards to reinforce current behavior and negative rewards to punish current or previous behavior.",Disruptive,Emerging,Capability,Insight Technologies
DevOps,"DevOps is a perspective that requires cultural change and focuses on rapid IT service delivery through the adoption of agile, lean practices in the context of an integrated approach. DevOps emphasizes people and culture to improve collaboration between development and operations groups as well as other IT stakeholders, such as architecture and information security. DevOps implementations utilize technology (especially automation tools) that can leverage an increasingly programmable and dynamic infrastructure from a life cycle perspective.",Radical,Adolescent,Capacity,Automation
DevOps,"DevOps is a perspective that requires cultural change and focuses on rapid IT service delivery through the adoption of agile, lean practices in the context of an integrated approach. DevOps emphasizes people and culture to improve collaboration between development and operations groups as well as other IT stakeholders, such as architecture and information security. DevOps implementations utilize technology (especially automation tools) that can leverage an increasingly programmable and dynamic infrastructure from a life cycle perspective.",Radical,Adolescent,Capacity,Platform Driven Development
Distributed Autonomous Organizations,A distributed autonomous organization (DAO) is an entity that is self-governing and can conduct corporate business without conventional human management. A DAO uses a decentralized network of artificial intelligence (AI) autonomous agents that replicate labor into computational tasks. The agents operate via a set of programmable business rules that could be implemented using publicly auditable open-source software distributed across the computers of their stakeholders.,Disruptive,Emerging,Capability,Blockchain
Ensemble Learning,"Ensemble-learning techniques are machine-learning algorithms where a set of predictive models is created and its outputs combined to become the single output of the entire ensemble. This methodology draws heavily on the ""wisdom of the crowd"" principle, where the diversification of opinions or model outputs is key. The most well-known patterns of ensemble techniques are random forests and gradient boosting.",Radical,Early mainstream,Platform,Insight Technologies
Gamification,Gamification is the use of game mechanics and experience design to digitally engage and motivate people to achieve their goals.,Radical,Adolescent,Capacity,Human Literate Computing
Gesture Control,"Gesture control devices are worn or held by the user in order to capture body movements, gestures and expressions. Gestures with specific semantic content can be interpreted by devices and software applications as a means to enhance the human-machine interface (HMI).",Tactical,Emerging,Capability,Human Literate Computing
HTML5,"""HTML5"" is a term that has multiple meanings, which has increased the related hype. It is the name of an actual standard run by the World Wide Web Consortium (W3C) that was ""finalized"" as of YE14. It is also a synonym of sorts for a broader meaning of ""the modern web"" — a collection of web technologies commonly used to build web applications. HTML5 brings to the web many of the rich internet application (RIA)-like capabilities that previously required additional software (for example, plug-ins such as Flash or Silverlight).",Radical,Early mainstream,Platform,Platform Driven Development
